ItemKey,GenericName,BrandName,DosageStrength,SoldPer,DefaultPurchasePrice,DefaultSellingPrice,IsActive,CanonicalSourceBDM,CanonicalSourceFileID,Notes,LastUpdatedAt
Abhay-Tox | 0.5 mL | 24GTOX009B,Tetanus Toxoid,Abhay-Tox,0.5 mL,vial,57.60,116.00,TRUE,Judy Mae Patrocinio,1i1ehuB0k_2Ca9av9boBjMhaNAyU8rd3JJ7TP4XjVOtU,,4/7/2026 17:44:42
Acrimet | 10 mg /2 mL | AEQ23001,Metoclopramide,Acrimet,10 mg /2 mL,ampoule,26.80,70.00,FALSE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
Ambidol | 100 mg/2 mL | 25A0004,Tramadol,Ambidol,100 mg/2 mL,ampoule,7.00,70.00,TRUE,Jay Ann Protacio,1O_SA5V6UFANT8ccPgPxYBUlnRgQd8uwRY_z2kCp9afE,,4/7/2026 17:44:42
Ampinex | 1 g | 2307624,Ampicillin Sulbactam,Ampinex,1 g,vial,30.00,120.00,TRUE,Mae Navarro,1em8X2kYF2GYrhA4gvlnQvuZb9n3-JB69s6cYxI3fKiE,,4/7/2026 17:44:42
Anaway Forte | 500 mg | 2408071,Sambong,Anaway Forte,500 mg,tablet,3.00,10.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Arcicort | 100 mg | 5056,Lyophilized Hydrocortisone,Arcicort,100 mg,ampoule,48.00,225.00,TRUE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Arcimet | 10 mg/2 mL | AEQ23001,Metoclopramide,Arcimet,10 mg/2 mL,ampoule,30.82,70.00,FALSE,Jake Montero,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,,4/7/2026 17:44:42
Ascorsaph- Zee | 500 mg/10 mL | NZE153,Ascorbic Acid Zinc,Ascorsaph- Zee,500 mg/10 mL,capsule,1.08,5.00,TRUE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
Atracurium | 25 mg/2.5 mL | 2225194C,Atrium,Atracurium,25 mg/2.5 mL,ampoule,240.00,350.00,TRUE,Jenny Rose Jacosalem,17RGzSlvVOHhUojZc5ZDmDlaUvVaQWBGytKf56t0Awgk,,4/7/2026 17:44:42
Atrix | 1 mg/mL | 141230201,Atropine,Atrix,1 mg/mL,ampoule,150.00,570.00,FALSE,Menivie Daniela,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,,4/7/2026 17:44:42
