,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
ILOILO-MAIN,Gregg Louie Vios,VIP Philippines,12yanCzM4ZZ0pUJw6UJ7a5G4b97re2eNpOJgW9sVBAzQ,Viptriaxone | 1 g | ECFXM24107,Ceftriaxone,Viptriaxone,1 g,ECFXM24107,03/29/28,vial,5800,3000,35.00,480.00,"203,000.00",TRUE,FAST MOVING,OK,
ILOILO-MAIN,Gregg Louie Vios,VIP Philippines,12yanCzM4ZZ0pUJw6UJ7a5G4b97re2eNpOJgW9sVBAzQ,Viprazole | 40 mg | D260118,Omeprazole,Viprazole,40 mg,D260118,12/30/28,vial,5000,3000,40.00,450.00,"200,000.00",TRUE,OK,OK,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Cefazovit | 1 g | C240112,Cefazolin,Cefazovit,1 g,C240112,06/17/27,vial,0,100,131.00,450.00,0.00,TRUE,OUT OF STOCK,OUT,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Ceftazivit | 1 g | C240121,Ceftazidime,Ceftazivit,1 g,C240121,06/27/26,vial,240,200,212.00,750.00,"50,880.00",TRUE,EXPIRY RISK,OK,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Viptriaxone | 1 g | ECFXM24107,Ceftriaxone,Viptriaxone,1 g,ECFXM24107,03/29/26,vial,2757,200,46.00,800.00,"126,822.00",TRUE,EXPIRY RISK,OK,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Ciproson | 200 mg/100 mL | 26430400,Ciprofloxacin,Ciproson,200 mg/100 mL,26430400,08/26/26,bottle,0,200,100.00,799.11,0.00,TRUE,OUT OF STOCK,OUT,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Dexavit | 4 mg/mL | A250558,Dexamethasone,Dexavit,4 mg/mL,A250558,08/28/26,ampoule,30,200,47.00,102.00,"1,410.00",TRUE,REORDER,LOW,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Losil | 20 mg/mL | A250560,Hyoscine-n-Butylbromide,Losil,20 mg/mL,A250560,08/28/26,ampoule,252,200,44.00,100.00,"11,088.00",TRUE,OK,OK,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Ketonix | 30 mg/mL | ACF23001,Ketorolac Trometamol,Ketonix,30 mg/mL,ACF23001,01/26/26,ampoule,0,50,35.00,130.00,0.00,FALSE,OUT OF STOCK,OUT,
MGO,Jake Montero,MG and CO.,1wOWz4fba-GeFOeowYBvMaUnx-vRjQ1-ktd34GOLXx4I,Arcicort | 100 mg | 5056,Lyophilized Hydrocortisone,Arcicort,100 mg,5056,02/28/26,ampoule,100,200,48.00,225.00,"4,800.00",TRUE,EXPIRY RISK,LOW,
